OA,LSOA,LAD,Rent_per_m,green_spac,travel,safety,schools
E00000001,E01000001,City of London,3249,0.533333333,0.875,0.996951709,0.82
E00000003,E01000001,City of London,2106,0.533333333,1,0.996951709,0.82
E00000005,E01000001,City of London,1882,0.533333333,1,0.996951709,0.82
E00000007,E01000001,City of London,1719,0.533333333,1,0.996951709,0.82
E00000010,E01000003,City of London,1022,0.533333333,0.875,0.999518691,0.79
E00000012,E01000003,City of London,1110,0.533333333,0.875,0.999518691,0.79
E00000013,E01000003,City of London,1624,0.533333333,0.875,0.999518691,0.79
E00000014,E01000003,City of London,948,0.533333333,0.875,0.999518691,0.79
E00000016,E01000002,City of London,1943,0.533333333,0.875,0.998556073,0.78
E00000017,E01000002,City of London,3452,0.533333333,1,0.998556073,0.78
E00000018,E01000002,City of London,2024,0.533333333,1,0.998556073,0.78
E00000019,E01000002,City of London,1699,0.533333333,1,0.998556073,0.78
E00000020,E01000002,City of London,1972,0.533333333,1,0.998556073,0.78
E00000021,E01000002,City of London,2017,0.533333333,1,0.998556073,0.78
E00000022,E01000003,City of London,1767,0.431513334,0.875,0.999518691,0.79
E00000023,E01000003,City of London,975,0.533333333,0.875,0.999518691,0.79
E00000024,E01032739,City of London,2207,0.533333333,1,0.969517086,0.96
E00000025,E01032740,City of London,1752,0.525753333,1,0.97513236,0.82
E00000026,E01032740,City of London,1622,0.511753334,1,0.97513236,0.82
E00000027,E01032740,City of London,1462,0.533333333,1,0.97513236,0.82
E00000028,E01032740,City of London,1658,0.494873333,1,0.97513236,0.82
E00000029,E01000005,City of London,1075,0.532713333,1,0.988609017,0.83
E00000030,E01000005,City of London,1144,0.523553334,1,0.988609017,0.83
E00000031,E01000005,City of London,677,0.533333333,1,0.988609017,0.83
E00000032,E01000005,City of London,965,0.533333333,1,0.988609017,0.83
E00000035,E01032739,City of London,1841,0.3613,1,0.969517086,0.96
E00000037,E01000009,Barking and Dagenham,593,0.235933334,0.875,0.940638537,0.76
E00000038,E01000011,Barking and Dagenham,748,0.277766666,0.875,0.971281887,0.77
E00000039,E01000012,Barking and Dagenham,427,0.160006667,0.125,0.960693085,0.77
E00000040,E01000007,Barking and Dagenham,497,0.710293334,0.875,0.947537301,0.76
E00000041,E01000009,Barking and Dagenham,1183,0.2,0.875,0.940638537,0.76
E00000042,E01000009,Barking and Dagenham,430,0.347133334,0.875,0.940638537,0.76
E00000043,E01000008,Barking and Dagenham,641,0.240333334,0.25,0.943686828,0.77
E00000045,E01000012,Barking and Dagenham,686,0.422233334,0.25,0.960693085,0.77
E00000046,E01000007,Barking and Dagenham,583,0.533333333,0.875,0.947537301,0.76
E00000048,E01000008,Barking and Dagenham,432,0.533333333,0.25,0.943686828,0.77
E00000049,E01000006,Barking and Dagenham,977,0.2,0.875,0.984277234,0.75
E00000050,E01000008,Barking and Dagenham,610,0.3986,0.375,0.943686828,0.77
E00000051,E01000009,Barking and Dagenham,472,0.2,0.875,0.940638537,0.76
E00000052,E01000007,Barking and Dagenham,480,0.596633333,0.875,0.947537301,0.76
